NAME,Amuvatinib,Carboxyamidotriazole,Ouabain,Digoxin,AI-10-49,Tyrphostin,Polidocanol,Favipiravir,GSK2606414,Niclosamide,Emetine,Alvocidib,Cetylpyridinium chloride,Pevonedistat,Ethaverine,Camostat,Dapivirine,Remdesivir,AC1NDSS5,SB-612111,Thioguanosine,LY2228820,Hexachlorophene,Papaverine,Chloroquine,Nelfinavir,ZK-93423,Almitrine,Auranofin,Sorafenib,Octenidine,Regorafenib,Thimerosal,Tioguanine,Hematoporphyrin,Chlormidazole,Ivermectin,Methylene blue,Nitazoxanide,Azithromycine,Ketoconazole,Homoharringtonine,Ravuconazole,LDK378,Tetrandrine,Alisporivir,Isoosajin,Osimertinib mesylate,LGK-974,Mibampator,Bazedoxifene,Oxyclozanide,Lusutrombopag,Osajin,Dronedarone HCl,Avasimibe,Chlorpromazine Hydrochloride,Tilorone,Hydroxychloroquine Sulfate,Ciclesonide,Cepharanthine,Isopomiferin,Anidulafungin,Ebselen,Amodiaquin Dihydrochloride Dihydrate,Penfluridol,Opipramol dihydrochloride,Quinacrine hydrochloride monohydrate,CVL218,Amodiaquine hydrochloride,Imatinib Mesylate,Fluspirilene,Clomiphene Citrate,Alprostadil,Pexidartinib,Amodiaquin Hydrochloride,Lonafarnib,Avatrombopag,Cyclosporine,Apixaban,IPAG,JTE-013,Drotaverine,Hydroxyprogesterone caproate,Perhexiline maleate,Ivacaftor,Droloxifene((E)-3-Hydroxy tamoxifen),Abemaciclib,Thioridazine hydrochloride,Gilteritinib,Ebastine,Triparanol,Mequitazine,Clomipramine Hydrochloride,Berbamine hydrochloride,Thiethylperazine Maleate,Mefloquine Hydrochloride,Eltrombopag,Saquinavir,Fluphenazine Dihydrochloride,Tamoxifen Citrate,Lopinavir,Loperamide,Atazanavir,Promethazine Hydrochloride,LDE225,Arbidol,Toremifene Citrate,DCPIB,Tipranavir,Dihydrogambogic acid,AMG-9810,Loratadine,Brexpiprazole,Terconazole Vetranal,CC-223,CBIPES,Omeprazole,Lidoflazine,Benztropine Mesylate,Loteprednol etabonate,Vatalanib,Adoprazine,PH-797804,Cloconazole,BP-897,Harringtonine,Flunarizine,PF-670462,Oxprenolol hydrochloride,Etifoxine,Oxiconazole,Dolutegravir,Nafamostat,Clemizole hydrochloride,Phenazopyridine,Amprenavir,Sulfadoxine,Darunavir,Chloroquine Phosphate,Indinavir,Penciclovir,Ribavirin,Lanatoside C
Acetic acid,-17.70055389,-14.77384758,-29.69419861,-35.92360306,-24.77321053,-11.631073,-16.09706879,-5.617435455,-19.17320824,-11.15816975,-19.86137009,-16.12013626,-9.132302284,-17.60905457,-15.15740967,-14.79574585,-12.65848541,-24.64888954,-14.72717953,-14.97770977,-11.75663471,-21.93004799,-11.76262951,-13.5108881,-11.04188442,-21.6565609,-15.85375118,-17.45241928,-15.46887112,-17.03854561,-16.56449509,-17.70998573,-6.463713169,-5.708098888,-24.99043655,-9.554726601,-36.56473923,-10.78273296,-11.21441936,-31.38359261,-19.68157387,-25.29862595,-17.50425529,-20.74350739,-26.38053894,-45.21310425,-19.27848434,-21.620224,-15.20757008,-14.76634884,-18.51532936,-12.34635639,-20.70694351,-17.95632362,-20.22960472,-19.93059349,-11.43698502,-16.29071236,-13.13468361,-26.98703384,-26.15514374,-20.05167389,-44.07461548,-8.683664322,-13.30390644,-19.82826042,-13.89744854,-14.8890276,-12.0632515,-13.1554451,-20.26780128,-19.12536621,-21.94631958,-12.10093021,-15.18397331,-13.1554451,-19.69878769,-22.36425209,-44.1606102,-19.21463203,-12.22003174,-14.60788059,-15.32298279,-17.44737625,-12.79715919,-17.75645256,-15.21540928,-19.65051079,-13.48445606,-20.87152863,-18.46331406,-16.80994606,-13.09454155,-11.72214031,-25.95275688,-20.11454964,-15.1249094,-17.92839241,-26.37938309,-16.27285385,-21.63122177,-24.19182205,-20.18085289,-28.26404572,-11.31105042,-19.07182884,-16.55783463,-21.99124336,-16.55690765,-23.80482864,-32.83937073,-13.67782497,-14.65762043,-15.8059597,-11.81699085,-16.50175858,-13.99387264,-12.87146759,-18.12252426,-14.43586063,-22.25414276,-12.77062798,-15.55957794,-16.19937515,-11.31429958,-15.49373055,-24.96484566,-14.8151989,-13.31334209,-9.263479233,-12.35928726,-13.07409573,-17.14801979,-13.67568684,-12.15615463,-7.711842537,-18.58839035,-11.19160843,-20.64465141,-14.81880951,-24.37718201,-9.403457642,-9.733502388,-44.06502914
Heptane,-17.98408699,-15.02585983,-29.93492126,-36.16431427,-25.04391861,-11.90435314,-16.37292099,-5.90769577,-19.44118309,-11.43257999,-20.13178253,-16.38103104,-9.397629738,-17.88283539,-15.40495491,-15.06228352,-12.9219532,-24.89839363,-14.99031639,-15.25072479,-12.03007603,-22.17544746,-12.0239315,-13.76881123,-11.29476929,-21.93015671,-16.11291695,-17.72356415,-15.75297451,-17.31103516,-16.8473568,-17.98205185,-6.745294571,-5.9804039,-25.23111725,-9.823101997,-36.80542374,-11.05646229,-11.48395538,-31.6264534,-19.95639801,-25.54897881,-17.75671196,-21.00323677,-26.64551926,-45.47076797,-19.54586983,-21.87619781,-15.47875309,-15.02447701,-18.77385902,-12.62631798,-20.97387695,-18.21862221,-20.48313332,-20.1747818,-11.69621849,-16.54993439,-13.39443016,-27.26336098,-26.43115807,-20.31718445,-44.3503952,-8.946146965,-13.56242657,-20.09379768,-14.18029118,-15.13513088,-12.31900311,-13.41459274,-20.55148697,-19.39863777,-22.21302414,-12.36580372,-15.46273804,-13.41459274,-19.97618103,-22.64600372,-44.41843414,-19.49013138,-12.50804615,-14.87325382,-15.58765411,-17.71113396,-13.11901379,-18.000103,-15.47264862,-19.92198372,-13.74999237,-21.15047646,-18.726017,-17.06398392,-13.37218666,-11.99050331,-26.21736336,-20.39139175,-15.36479759,-18.19041443,-26.6492691,-16.52029228,-21.89268494,-24.44825554,-20.44420242,-28.51718903,-11.56123638,-19.34768486,-16.80156326,-22.25339127,-16.80903625,-24.05666161,-33.10843658,-13.93367958,-14.93975067,-16.06949234,-12.07642746,-16.77922058,-14.24925613,-13.12030697,-18.39744186,-14.70135593,-22.53318024,-13.04117775,-15.84117317,-16.45819283,-11.58402157,-15.77464199,-25.21393776,-15.09214783,-13.57847023,-9.511130333,-12.61968422,-13.35489273,-17.42593193,-13.94154167,-12.41716766,-8.001945496,-18.83803749,-11.45987701,-20.89839172,-15.08245564,-24.63414955,-9.658525467,-10.00710201,-44.30644226
Acetone,-17.71790886,-14.7855196,-29.70242691,-35.93326187,-24.78892517,-11.64827919,-16.114748,-5.635828018,-19.1894455,-11.17051125,-19.87181854,-16.13214493,-9.147418022,-17.6233654,-15.1690073,-14.80907154,-12.67157173,-24.6577549,-14.73782921,-14.99081326,-11.76929092,-21.94198418,-11.77252293,-13.52640247,-11.05487633,-21.67010498,-15.87068462,-17.46614456,-15.4797411,-17.05224609,-16.57775688,-17.72378159,-6.476658821,-5.724687576,-25.00120163,-9.573910713,-36.57244873,-10.79518127,-11.22580433,-31.38928032,-19.69606972,-25.30514908,-17.51666451,-20.75501442,-26.39313889,-45.22237015,-19.29096031,-21.63279152,-15.22543716,-14.78019905,-18.5316391,-12.35838032,-20.7171936,-17.97127724,-20.23866272,-19.94242477,-11.44720554,-16.30042267,-13.14712238,-26.99815178,-26.16803169,-20.06452179,-44.08757019,-8.701011658,-13.31186008,-19.8392849,-13.90802574,-14.89770126,-12.07615948,-13.16369438,-20.28387833,-19.1389904,-21.95661354,-12.11460876,-15.19892597,-13.16369438,-19.71325302,-22.37770271,-44.17004013,-19.22484779,-12.23281002,-14.62026596,-15.32903481,-17.46025467,-12.8209753,-17.76845932,-15.22495461,-19.66611671,-13.49572849,-20.88446045,-18.47551727,-16.82110977,-13.11074066,-11.73536396,-25.9637661,-20.12631226,-15.13344479,-17.94343567,-26.39369583,-16.27942657,-21.64251518,-24.20294189,-20.18849182,-28.27435112,-11.32124424,-19.08777046,-16.56905174,-22.00179482,-16.56419373,-23.81562233,-32.84747696,-13.68831158,-14.67041779,-15.82227325,-11.83115292,-16.51483345,-14.00475121,-12.88384628,-18.13757324,-14.45116425,-22.26333046,-12.78845882,-15.57526016,-16.21318054,-11.32801151,-15.50815392,-24.97105598,-14.83272839,-13.32534981,-9.274410248,-12.36925697,-13.08645439,-17.16176987,-13.68552017,-12.17036152,-7.727631092,-18.59916496,-11.20550632,-20.65494347,-14.83384895,-24.38723755,-9.4152174,-9.745306969,-44.07451248
Isobutyl acetate,-18.17661285,-15.23377228,-30.13828468,-36.37206268,-25.2436142,-12.10132885,-16.60437393,-6.103350163,-19.63484192,-11.63204575,-20.32996559,-16.57014656,-9.622412682,-18.07624054,-15.61961079,-15.27291393,-13.12761402,-25.11190414,-15.22033596,-15.44799995,-12.21481514,-22.38581657,-12.24319458,-13.97272205,-11.51217651,-22.13101006,-16.3151474,-17.92254829,-15.95724583,-17.51131248,-17.06163979,-18.18276978,-6.96236515,-6.165218353,-25.44330025,-10.03070068,-37.00971603,-11.25519848,-11.67570114,-31.81743813,-20.16005135,-25.75943756,-17.95999908,-21.21011925,-26.84843826,-45.67828751,-19.73838997,-22.08347702,-15.67034817,-15.2303009,-18.97838211,-12.82306194,-21.179039,-18.41394615,-20.68929291,-20.38453674,-11.89956379,-16.76148033,-13.60467052,-27.45178413,-26.6325798,-20.51048088,-44.54461288,-9.141738892,-13.76483917,-20.28992462,-14.37701321,-15.34268856,-12.51514435,-13.61674023,-20.7390995,-19.60382271,-22.41506386,-12.58710575,-15.65600967,-13.61674023,-20.17130852,-22.84054947,-44.62615585,-19.69356537,-12.69970703,-15.07981682,-15.79867077,-17.89983368,-13.29951096,-18.20731544,-15.68644047,-20.12003899,-13.94973183,-21.34915924,-18.92269707,-17.27235603,-13.57223129,-12.18568325,-26.41685486,-20.60539818,-15.57060432,-18.38680267,-26.85232353,-16.73159409,-22.09375,-24.66442299,-20.64898109,-28.7332077,-11.77475452,-19.54307556,-17.00908661,-22.45371246,-17.02303696,-24.27607536,-33.30236435,-14.1562767,-15.1431179,-16.26941109,-12.28127193,-16.97916222,-14.45199394,-13.3379755,-18.5893116,-14.90465069,-22.7184906,-13.23370552,-16.03600883,-16.66463089,-11.7864275,-15.96998787,-25.424263,-15.28410625,-13.76886654,-9.731820107,-12.83575249,-13.55158424,-17.62677956,-14.13273239,-12.614604,-8.185994148,-19.05354118,-11.66054153,-21.1142292,-15.28802586,-24.84632492,-9.8778162,-10.20046902,-44.51721573
Anisole,-18.02708626,-15.08167458,-29.97916985,-36.21680832,-25.08428383,-11.96356869,-16.4204464,-5.947049141,-19.4779644,-11.49267578,-20.19496346,-16.42702293,-9.483032227,-17.90805626,-15.46783161,-15.12718582,-12.9894619,-24.93986511,-15.07364178,-15.31315994,-12.02152538,-22.20936394,-12.07064629,-13.83272839,-11.37373352,-21.97366905,-16.15962029,-17.75093079,-15.80479431,-17.35902023,-16.91200066,-18.02393532,-6.801702023,-6.038222313,-25.2729969,-9.883550644,-36.87730408,-11.09818077,-11.53283405,-31.67494774,-20.01875687,-25.61333275,-17.80344772,-21.04429626,-26.71550941,-45.53924942,-19.60929489,-21.93033409,-15.52448273,-15.07851601,-18.83224678,-12.68233204,-21.0351696,-18.2749157,-20.52105713,-20.21791649,-11.73881721,-16.61883354,-13.4426012,-27.29266357,-26.49460602,-20.3772068,-44.37513351,-8.99939537,-13.59847164,-20.11292458,-14.21293545,-15.1700201,-12.34318542,-13.44668484,-20.60222626,-19.45552254,-22.24091339,-12.44311619,-15.50739098,-13.44668484,-20.03354836,-22.69442558,-44.48684692,-19.54929352,-12.58507347,-14.92932415,-15.66108131,-17.74832344,-13.17849255,-18.05649567,-15.53932095,-19.97333145,-13.80551815,-21.21284294,-18.77121353,-17.12480927,-13.44024086,-12.03293991,-26.26905441,-20.46775055,-15.37055492,-18.24705315,-26.69172668,-16.53980637,-21.92552757,-24.4981823,-20.47753716,-28.5591259,-11.61533737,-19.3993454,-16.8521328,-22.28338051,-16.8797245,-24.1123085,-33.17152786,-14.01944923,-15.00638008,-16.12432671,-12.13311195,-16.83897018,-14.30574989,-13.18965912,-18.42757988,-14.75547123,-22.57433128,-13.08503151,-15.88399315,-16.5050602,-11.64081955,-15.82858562,-25.27839851,-15.12936497,-13.59514141,-9.568734169,-12.69304752,-13.39765835,-17.48478699,-13.99197483,-12.45366383,-8.046182632,-18.87837982,-11.51053905,-20.94775772,-15.13428688,-24.67663002,-9.70580101,-10.02159786,-44.34848404
Isopropyl acetate,-18.08386803,-15.142066,-30.04713821,-36.28045273,-25.15116692,-12.00645638,-16.50445366,-6.008104801,-19.54355431,-11.53758812,-20.2343502,-16.48055649,-9.523399353,-17.98267555,-15.52915668,-15.17828846,-13.03410912,-25.01883507,-15.12093067,-15.35494709,-12.12103653,-22.29719353,-12.14812565,-13.8817358,-11.41964722,-22.0356617,-16.22435188,-17.83030128,-15.85926056,-17.41728592,-16.96159744,-18.08890343,-6.860469341,-6.076164722,-25.35567856,-9.935266495,-36.91999054,-11.15917778,-11.58440781,-31.72728157,-20.06454086,-25.66771126,-17.86965942,-21.11745644,-26.75465012,-45.58465958,-19.64644432,-21.99299812,-15.57908916,-15.13858891,-18.8873291,-12.72929382,-21.08587456,-18.32434082,-20.59825134,-20.29593468,-11.80846405,-16.67106819,-13.51327324,-27.35479164,-26.53627396,-20.41889,-44.44840622,-9.051062584,-13.67176819,-20.19862556,-14.27792263,-15.25355816,-12.42233562,-13.52521801,-20.64453125,-19.50794792,-22.32221985,-12.49311352,-15.56308174,-13.52521801,-20.07560158,-22.74431419,-44.53256226,-19.59566116,-12.59902763,-14.98693371,-15.70667171,-17.80665016,-13.19643974,-18.11943245,-15.59245491,-20.02759743,-13.85790634,-21.25201416,-18.83287811,-17.18108559,-13.47625828,-12.09298801,-26.32361031,-20.50619698,-15.4832058,-18.29620552,-26.75746346,-16.64344788,-22.00146103,-24.57128716,-20.55381584,-28.64070892,-11.68385696,-19.4490509,-16.92052078,-22.36136246,-16.93089294,-24.18470764,-33.20746613,-14.06484795,-15.04645634,-16.17788315,-12.19073677,-16.88313293,-14.36168957,-13.24618626,-18.49763298,-14.81207466,-22.62058067,-13.14113903,-15.94064713,-16.57384682,-11.69105721,-15.87424183,-25.33234215,-15.19057178,-13.6758461,-9.637371063,-12.74274349,-13.45620537,-17.53055191,-14.04318714,-12.52318573,-8.091752052,-18.96208763,-11.56690311,-21.02070236,-15.19612026,-24.75333214,-9.781147957,-10.10610485,-44.42587662
1-Butanol,-17.79182434,-14.84618664,-29.75174904,-35.97702408,-24.85177422,-11.71660614,-16.16937256,-5.711419106,-19.25473022,-11.24445629,-19.94176292,-16.19503021,-9.202776909,-17.69516754,-15.22346401,-14.87416458,-12.73438931,-24.71446037,-14.79883289,-15.06179142,-11.83825779,-21.99735832,-11.83683681,-13.58381176,-11.11000347,-21.73944664,-15.92867947,-17.53470421,-15.55615044,-17.121912,-16.64580917,-17.79370308,-6.546700954,-5.789498806,-25.05588531,-9.634228706,-36.61997604,-10.87002373,-11.29864788,-31.44137955,-19.76440811,-25.36631966,-17.57538795,-20.82036018,-26.4586792,-45.28585434,-19.35695076,-21.69330788,-15.29268169,-14.83863735,-18.5871067,-12.43762779,-20.78721619,-18.03247833,-20.30309296,-19.99724388,-11.51322746,-16.3668499,-13.20809841,-27.07025528,-26.23819542,-20.12917328,-44.15789413,-8.759504318,-13.38413525,-19.90432739,-13.98977566,-14.96030903,-12.14210796,-13.23456573,-20.35989189,-19.20487213,-22.03002548,-12.1734333,-15.26805973,-13.23456573,-19.78359032,-22.45405197,-44.23350143,-19.30009079,-12.31126499,-14.68523884,-15.40485764,-17.52397919,-12.90498924,-17.82247543,-15.29160881,-19.73163795,-13.56788826,-20.95906258,-18.53846169,-16.8795929,-13.17727661,-11.80731964,-26.03314018,-20.1960907,-15.19149494,-18.00680161,-26.45918274,-16.34488106,-21.71006203,-24.26196671,-20.25666046,-28.33391762,-11.37810612,-19.15836716,-16.62288857,-22.07081032,-16.62535858,-23.87566948,-32.91690445,-13.74740219,-14.74590588,-15.88304901,-11.88977909,-16.58700562,-14.06621933,-12.93800068,-18.20577431,-14.51369095,-22.33914185,-12.85323906,-15.65006638,-16.27479172,-11.39381695,-15.57924271,-25.03168678,-14.89855671,-13.39910793,-9.329956055,-12.4299593,-13.15936661,-17.23339462,-13.75651169,-12.2326088,-7.804234505,-18.6547966,-11.27195263,-20.7128849,-14.89446354,-24.44511604,-9.471858025,-9.81388855,-44.11822128
Methyl acetate,-17.82142639,-14.88156319,-29.80412102,-36.03858185,-24.89063263,-11.74309063,-16.22868156,-5.737101555,-19.2863369,-11.26902866,-19.97577858,-16.22971916,-9.258990288,-17.72393417,-15.27166653,-14.91325474,-12.77020168,-24.76153755,-14.84782028,-15.09404087,-11.86814785,-22.04174614,-11.87907124,-13.62627697,-11.15981388,-21.77248573,-15.96800804,-17.56890869,-15.58906269,-17.15433884,-16.68812943,-17.82590866,-6.581868649,-5.822470665,-25.10163498,-9.673880577,-36.67951202,-10.89688873,-11.3266058,-31.49420929,-19.80023384,-25.41018105,-17.61500931,-20.85638237,-26.49683762,-45.32830811,-19.39111137,-21.73332024,-15.31890011,-14.88070679,-18.63102531,-12.46197605,-20.820858,-18.07069778,-20.33968353,-20.04323578,-11.55293179,-16.40842819,-13.25036716,-27.09635925,-26.27345276,-20.16396713,-44.1896286,-8.793581963,-13.41295719,-19.94352913,-14.01278496,-14.99871063,-12.16815186,-13.26552296,-20.38265228,-19.24271393,-22.05991936,-12.22460747,-15.29934311,-13.26552296,-19.81569099,-22.48103523,-44.27605057,-19.32697678,-12.33700371,-14.72277164,-15.43755817,-17.55787468,-12.92305374,-17.86865807,-15.328969,-19.76623344,-13.59751797,-20.98800087,-18.57706833,-16.92459869,-13.21331787,-11.83799744,-26.06679535,-20.23458481,-15.23259449,-18.03650856,-26.49500656,-16.38681984,-21.74292755,-24.30825424,-20.29287529,-28.37845612,-11.42798042,-19.18894386,-16.66661263,-22.10268974,-16.67033195,-23.92121124,-32.95054626,-13.79830647,-14.77810955,-15.91986561,-11.93343544,-16.61878014,-14.10424519,-12.98584557,-18.2404213,-14.55374336,-22.36505127,-12.88145638,-15.67817783,-16.31394196,-11.42579746,-15.61218929,-25.07590485,-14.93350697,-13.41762352,-9.376426697,-12.47792053,-13.19035435,-17.26483727,-13.78371334,-12.26961708,-7.827379227,-18.70346642,-11.30358887,-20.75919342,-14.93629169,-24.49223137,-9.517648697,-9.846915245,-44.18480682
